,0,1,2
801,일러스트레이터 흰화면,/qna/detail.nhn?d1id=3&dirId=31301&docId=298537121,일러스트레이터CS6 사용하고있습니다이미지 보시는거 같이 무슨 키를 잘못눌렀더니 갑자기 이렇게 변했네요 ..그리고 이 AI파일을 누르면 좀 있다가 Can't 뭐뭐뭐 어쩌구 불러오질 못했다고 이렇게 뜰때도 있구요 .
802,얼마전 매형이 돌아가셧는대요.. 그때 잇엇던일을 꿈으로 또보게됏는대 이건무슨꿈인가요? 장례식전부다꾼건아니고,/qna/detail.nhn?d1id=3&dirId=31505&docId=298537120,얼마전 매형이 돌아가셧는대요.. 그때 잇엇던일을 꿈으로 또보게됏는대 이건무슨꿈인가요? 장례식전부다꾼건아니고 마지막 관 매는 장면이꿈에서 나오네요
803,지민 이 사진 원본주세요 이 날 직찍사진 더 있으면 더 주세요ㅠㅠㅠㅠ,/qna/detail.nhn?d1id=3&dirId=30104&docId=298537119,지민 이 사진 원본주세요이 날 직찍사진 더 있으면 더 주세요ㅠㅠㅠㅠ
804,이배우 이름이 어떻게되나요?,/qna/detail.nhn?d1id=3&dirId=306&docId=298537108,이배우 이름이 어떻게되나요?
805,사주 좀 부탁드리겠습니다.,/qna/detail.nhn?d1id=3&dirId=31501&docId=298537083,"1986년 3월 7일 12시 05분 출생朴志雄 박지웅 입니다.올해 직장을 그만두고 사업을 시작할까 하는데, 사주에 상재가 있는지 확인좀 부탁드리겠습니다.현재 투잡으로 병행하던거라, 직장을 그만두고 전업으로 생각중입니다.현재 1980년 12월 14일 와이프랑 결혼한 상태이구요슬하에 16년 06월 17일 03시 15분 출생 딸 하나가 있습니다.전체적인 사주와 조심해야될것 좀 부탁드리겠습니다.현재 타지생활중이고, 이사를 너무 자주해서 뒤숭숭하네요.작년에만 원래 집을 두고 이사만 직장때문에 세번을 했습니다.올해도 몇일전에 다시 이사를 했구요, 사주에 역마가 끼어있는건지 ㅠ제발 고수님들 부탁드리겠습니다."
806,어릴때부터중이염이있었는데38살인데아직까지도치료를못했는데이것때문이라도이명이오나요?귀에서삐소리가스너무심해서잠을자,/qna/detail.nhn?d1id=3&dirId=30505&docId=298537081,어릴때부터중이염이있었는데38살인데아직까지도치료를못했는데이것때문이라도이명이오나요?귀에서삐소리가스너무심해서잠을자지도못하겄어요..너무괴로워서병원가면소리를조금이라도줄일수있나요?그리고제가일하는데가좀시끄러운데서일하는데그것도않좋은가요?너무괴로습니다
807,헬싱 아카드질문,/qna/detail.nhn?d1id=3&dirId=30407&docId=298537067,헬싱에서 아카드가 세계관 최강맞나요 ova 1화보고 실망해서요
808,에프터 이펙트 질문,/qna/detail.nhn?d1id=3&dirId=31301&docId=298537053,이미지 구도를 제가 원하는 것만큼 하고싶은데 이게 포토샵 단축키와는 다르더라고요. 포토샵으로는 컨트롤 T누르고 모서리 잡으면서 컨트롤 같이 눌러줘서 제가 원하는 구도를 잡고 그랬는데 애프터 이펙트 같은 경우에는 그게 안되는것 보았습니다. 어떻게 해야하나요?
809,짱구는 못말려11기 에서 왜 주택에서 안살고 빌라로 이사했나요? 그 이유나오는 에피소드 있으면 알려주세요,/qna/detail.nhn?d1id=3&dirId=304&docId=298537032,짱구는 못말려11기 에서 왜 주택에서 안살고 빌라로 이사했나요? 그 이유나오는 에피소드 있으면 알려주세요
810,이 배우분 이름좀요,/qna/detail.nhn?d1id=3&dirId=306&docId=298537029,이 배우분 이름좀요
811,cgv서면 아이맥스 스크린 크기 크나요,/qna/detail.nhn?d1id=3&dirId=30312&docId=298537001,부산 서면에 있는거 크나요? 아이맥스는 한눈에 들어오면 작은편이라던데....
