,0,1,2
35,이럴땐어떻게해야할지 오래된다세대연립주택입니다 자주배관에문제가생겨 위아래할것없이 수시로 배관공사를합니다 저희집,/qna/detail.nhn?d1id=4&dirId=402&docId=298557323,이럴땐어떻게해야할지오래된다세대연립주택입니다자주배관에문제가생겨 위아래할것없이 수시로 배관공사를합니다저희집이3층이라 피해가많은건지..몇년전부터 아래층에물이세고두번의배관공사와도배비까지변상햇읍니다문제는저희집이세서 옥상방수를 하게되었거든요사전고지햇지만 1층2층 다비협조여서개인부담으로남편이재료사다햇읍다그런데 작년에 1층물이센다고 협조해달라고하더군요검사결과메인배관문제라 금액이얼마안드니 본인들이햇다고하더군요3층옥상방수때 1층에서부담안햇으니 앞으로는 제게 이런저런거 바라지도말라고햇어요그리고저희집은 재작년에배관 모두교체하여 별문제가없다고생각햇는데 이번에 2층에서 물이센다고합니다검사결과저희집수도배관문제라고하더라구요당연히제가해드려야하는게맞는데저옥상방수할때 나몰라라 하더니 자기집센다고당연히제가고쳐야된다고합니다물론맞는말이죠작년옥상방수건에대해서 언급햇더니다자고짜 화를냅니다돈낸지얼마안됏는데 또낼수없다고그말은 제가 이집을세주었을때 물이세서 방수를햇고거기에대한금액을늦게 받은거지요7년전쯤 개인비용으로방수를햇고 분담생각도안햇던건데 제가 이사오고 이층으로물이세면서 두번의공사와도배비용청구하셔서 저도몇년전햇던방수비용을애기해서받은거구요작년에옥상방수에대해선 받지않았거든요그런데 이번에본인집에물이세니 고쳐내라는거죠고치는게문제가아니라 너무화가나서요주인아주머니와전화로대판싸웟거든요당연히내가해주는게맞는데 해주기시른거예요옥상방수는 나몰라라하면서 이럴땐어떻게대응해야하는지
36,내공100] 자동차 회사에서 왜 신발을 디자인하고 만들까요?,/qna/detail.nhn?d1id=4&dirId=404&docId=298557321,"자동차 회사에서 왜 신발을 디자인하고 만들까요?아우디, 벤츠, BMW, 람보르기니, 페라리 등그 마크를 단 신발들을 쉽게 찾아볼 수 있는데요,단순히 마크를 단 것일 뿐일까요?아니면 신발회사에 외주를 주고서 자신들의 이름으로 신발을 팔고 있는 것일까요?팔고 있다면 왜 신발을 팔고 있는 것이지요?궁금합니다.자동차와 신발의 관련성이 많아서 일까요? 내공100겁니다~!"
37,실비보험 저렴한곳 어디인가요?,/qna/detail.nhn?d1id=4&dirId=401030201&docId=298557320,"실비보험만 들려고 하는데올 4월부터 실비는 단독으로만 가입이 가능하게 바뀌었다고 하더라구요.괜찮은 실비보험사 어디인까요?실비는 다 거기서 거기다 다 똑같다 아무데서나 들어라...이러는분들 많던데맞는말인가요? 그냥 실비보험이 보장이나 보험료가 다 거기서 거기라면,인터넷다이렉트로 이름있는 삼성화재 같은데 드는게 제일 좋은가요?"
38,미니스톱 AT랑 알바랑 다른건가요????,/qna/detail.nhn?d1id=4&dirId=40611&docId=298557302,미니스톱 AT랑 미니스톱 알바랑 다른건가요????
39,KT 소액결제 선결제,/qna/detail.nhn?d1id=4&dirId=401&docId=298557295,지난달에 kt 소액결제 했던걸 선결제를 하려고 114 상담원이랑 통화해봤는데 요금을 내는 날짜가 안지났어도 개월만 바뀌면 선결제가 안된다는데 대리점을 가도 안되는건가요? 요금 내는 날짜는 4월 21일이라 안지났어요
40,KT 소액결제 선결제,/qna/detail.nhn?d1id=4&dirId=401&docId=298557295,지난달에 kt 소액결제 했던걸 선결제를 하려고 114 상담원이랑 통화해봤는데 요금을 내는 날짜가 안지났어도 개월만 바뀌면 선결제가 안된다는데 대리점을 가도 안되는건가요? 요금 내는 날짜는 4월 21일이라 안지났어요
41,낮은 단계 연방제가,/qna/detail.nhn?d1id=4&dirId=405&docId=296142435,낮은 단계 연방제가 안되는 이유를 자세히 알려주세요 ^^
42,메리츠화재실비보험 가입 요령은???,/qna/detail.nhn?d1id=4&dirId=401030201&docId=298557252,저는 아직 보험에 가입해 본적이 없지만...언제 사고나 질병으로 인해서병원에 가서 치료를 받을지 모르다 보니..미리 실비상품 하나 정도는 가입해 놓는 게좋을 거 같다는 생각을 하게 되었는데요..그래서 메리츠화재실비보험에 가입하려고 하는데..가입하기 전에 알아봐야될 게 있을까요???비교사이트에 들어가서 무엇을 확인하는 게 좋을까요??
43,국민카드 이지론플러스로 100만원 대출받을라고 하는데 원금균등분할상환 방식이라면 12개월로 했을경우 중간에,/qna/detail.nhn?d1id=4&dirId=4010502&docId=298557247,국민카드 이지론플러스로 100만원 대출받을라고 하는데 원금균등분할상환 방식이라면 12개월로 했을경우중간에 원금을 다 갚아버리는 방식은 안되는건가요?
44,피시방 알바를 처음 시작했습니다.,/qna/detail.nhn?d1id=4&dirId=40611&docId=298557171,"피시방 알바를 처음 시작했습니다. 오후파트로 혼자하니까 생각보다 더 힘들더라구요. 음식 메뉴가 헷갈리고 주문량이 너무 많아 정신없고 지치네요. 밥먹을 시간도 없어서 안먹구요. 결국 퇴근할때까지 자리청소~설겆이 다 제대로 못끝내서 제가 과연 이 일을 할 수 있을까 싶습니다. 해보셨던 분들은 어떻게 적응하셨는지 궁금해요또, 원래 pc 100대 이상인곳은 두명이서 일한다고 들었는데 혼자서 일하는 경우도 많은가요?일단 버텨보고 아무래도 적응이 어려우면 말씀 드리려는데 후임을 구하기 까지 시간이 걸리니까, 최대한 빨리 말씀 드려보는게 좋을까요?"
45,법인도장 개인도장,/qna/detail.nhn?d1id=4&dirId=407&docId=298557147,개인사업자 운영중인데 회사 도장을 파려한는데사이트에 들어가보면 법인도장이 따로 있던데개인사업자는 법인도장으로 만들어도 상관없나요?
46,이분 이름이나 인스타계정아시는분있나요...?,/qna/detail.nhn?d1id=4&dirId=406&docId=298557146,이분 이름이나 인스타계정아시는분있나요...?
47,라이나치아보험 공부하기??,/qna/detail.nhn?d1id=4&dirId=401030201&docId=298557123,저는 치아 건강을 너무 소홀히 해서치과를 15년 동안 한 번도 가지 않았는데요...그나마 건강검진을 받을 때충치가 있다는 사실을 알 게 되어서치과에 갔었는데...만만치 않은 비용이 들어가서후회했었습니다....그래서 라이나치아보험에 대해서알아본 후에 가입을 하려고 하는데...이 상품에 가입하기 전에보험 전문가에게 상담을 받아보는 게 좋을까요??
48,사망하신 어머님 예금통장의 현금인출하는 방법은?,/qna/detail.nhn?d1id=4&dirId=40307&docId=298557118,"얼마 전에 어머님이 사망하셨고, 사망신고를 마쳤습니다.돌아가신 어머님의 노인연금통장이 있었는데 현금이 약간 있어서인출하려고 하는데, 필요한 서류가 뭐가 있을런지요?현재 자식은 1남2녀 입니다."
49,신한은행 하이포인트 JCB 카드 발급 질문이요~,/qna/detail.nhn?d1id=4&dirId=40104&docId=298557117,여행을 하와이로 가려고 하는데 신한카드  하이포인트 JCB카드 발급을 희망합니다! 혜택 많이 주실수 있는 신한카드 설계사분 쪽지 부탁드려요~
50,"복권방에서  한번에 1인당 10만원이상 구매하면 안되는걸로 아는데요, 지인이 한번갈때마다 몇백만원씩 구매했습니다. 이거 어디다가 신고하면 되나요",/qna/detail.nhn?d1id=4&dirId=40309&docId=298557110,"복권방에서  한번에 1인당 10만원이상 구매하면 안되는걸로 아는데요, 지인이 한번갈때마다 몇백만원씩 구매했습니다. 이거 어디다가 신고하면 되나요?"
51,格眼乾坤內答無字書?,/qna/detail.nhn?d1id=4&dirId=40103&docId=298557100,格眼乾坤內答無字書의 출처와 내용을 좀 알려주세요
52,메리츠화재 건강보험인데 신용카드결제 자동납부는 매월 고객센터 유선상 절차를 거쳐 납부하여야 하나요?,/qna/detail.nhn?d1id=4&dirId=401030201&docId=298557058,매달 유선상 카드번호부르고 번거로울거같은데 카드 자동결제 방법은 유선 구두외엔 없는건가요?혹시 모바일 앱이나 등으로 제가 직접 카드번호 찍고 결제할수 있는 요런방법은 없나요? 무조건 상담원통화해야 하나요. 바쁘면 연결도 잘 안되던데 ㅠ
53,금융 세제 계산방법,/qna/detail.nhn?d1id=4&dirId=403&docId=298557057,"15번 해설지인데요, 이해가 안가서 그러는데, 풀어서 설명해주실분~내공 걸게요"
54,신용회복 2년째 납부하는중에 재가 2018년3월 30일 금요일 성실상환대출 400만원 신청하고 왔습니다. 오,/qna/detail.nhn?d1id=4&dirId=40106&docId=298557051,신용회복 2년째 납부하는중에 재가 2018년3월 30일 금요일 성실상환대출 400만원 신청하고 왔습니다. 오늘이 날짜로 치면 5일째인데 어제 전화하여 신용회복위원에신청담담분께서 심사는 걸리는거 없이 잘끝났다고 말씀은 하시는데 .. 대출금 승인여부는 7일정도 걸린다는데 주말 빼고 현제 3일째입니다심사 당담님께서는 빠르면 3일안에 나오고 늦어도 7일이라 말씀하시는데.제가 걱정이되는건 신용회복위원에 생활안정자금 신청해도대출이 부결나는 경우가있는지 궁금하고또 그런 일이 실제로 있는지 궁금합니다저는 5일째기다리는중인데 평일날수로는 3일째인데..1. 심사끝나고 상부에서 대출금 승인여부 검토 할게 많아서 길어질수 있다고 하는데여기서 부결날수 나요?2.심사당담분께서 신청시 걸리는게 없이 심사는 잘끝났다고하는데. 대출이 여기서 나온다는 말인지.. 아닌지 궁금합니다도와주십쇼
55,2017타경3669 의 차순위 입찰금액이 궁금합니다.,/qna/detail.nhn?d1id=4&dirId=40204&docId=298557045,2017타경3669 의 차순위 입찰금액이 궁금합니다.알 수 있는 방법이 있을까요?
56,사업자통장과 일반통장의 차이,/qna/detail.nhn?d1id=4&dirId=40107&docId=298557024,"일반통장과 사업자통장의 차이를 알고 싶습니다.많은 분들이 별 차이가 없다고 하시는데, 그럼 왜 만들어둔것인가요?어떠한 이유가 있을텐데.. 궁금하네요."
